what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275551335605
started,bundle,com.google.gdt.eclipse.platform,1.3.2.v201003242055,"com.google.gdt.eclipse.platform",1275551343819
started,bundle,com.google.gdt.eclipse.platform.e35,1.3.2.v201003242055,"com.google.gdt.eclipse.platform.e35",1275551343820
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551344751
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551414217
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551417378
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1275551448008
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1275551448695
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1275551449049
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551450210
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1275551450612
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1275551450850
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1275551450888
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1275551451247
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1275551451250
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1275551451306
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1275551451338
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1275551451437
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1275551451522
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1275551451572
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1275551452109
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1275551452159
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1275551452221
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1275551452309
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275551453748
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551464058
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551495168
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551498686
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551500538
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1275551502890
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275551522803
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275551522929
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275551525662
error,log,,,"IO error while downloading http://dl.google.com/eclipse/plugin/3.5/site.xml?id=1275321296545&ev=3.5.2.R35x_v20091203-1235&v=com.google.gdt.eclipse.suite.e35.feature_1.3.2.v201003242055&gaev=1.3.4",1275551526119
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275551532321
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551535845
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551536703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551545025
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551555880
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551557133
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551559971
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551560973
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551599382
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551607912
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551610148
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1275551619915
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551631942
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551632079
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551640279
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551644193
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551710225
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551711096
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275551759891
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.debug",1275551770222
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551787056
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551909300
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1275551911683
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1275551914596
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1275551922896
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1275551922917
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1275551922950
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551935039
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551947908
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551947945
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551952928
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1275551953450
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1275551953665
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1275551953737
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.BreakpointView",1275551955222
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1275552008312
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1275552008575
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1275552008662
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275552023378
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1275552027192
